"",,,ANAPLAS-,,,,CAMPYLO-,,
CHENANGO,0,4,12,0,0,0,0,1,3
CLINTON,0,8,18,2,0,0,0,3,5
COLUMBIA,1,3,25,2,0,0,0,6,0
CORTLAND,1,9,14,3,0,0,0,0,0
DELAWARE,1,4,5,1,0,0,0,5,2
DUTCHESS,0,17,126,3,0,2,2,39,1
ERIE,2,107,1720,17,0,3,0,168,9
ESSEX,0,11,5,3,0,0,0,1,1
FRANKLIN,0,15,0,1,1,2,0,2,1
FULTON,0,2,14,2,0,0,0,3,0
GENESEE,0,2,34,1,0,0,0,2,1
GREENE,0,6,27,3,0,0,0,5,0
HAMILTON,0,0,0,0,0,0,0,0,0
HERKIMER,0,8,17,2,0,0,0,1,2
JEFFERSON,1,8,55,2,0,0,0,18,1
LEWIS,1,4,2,1,0,0,0,0,0
LIVINGSTON,0,10,8,2,0,0,0,3,0
MADISON,0,14,10,0,0,0,0,0,0
MONROE,3,45,1782,20,1,0,4,99,12
MONTGOMERY,1,5,16,0,0,0,0,2,0
NASSAU,0,91,509,15,0,8,4,412,2
NIAGARA,0,5,262,6,1,0,2,16,7
ONEIDA,0,28,102,4,0,1,1,61,5
ONONDAGA,4,26,904,11,2,2,1,97,1
ONTARIO,0,4,43,0,0,0,0,6,1
ORANGE,1,37,207,8,0,1,1,59,4
ORLEANS,0,2,28,0,0,0,0,2,0
OSWEGO,0,6,45,2,0,0,0,2,2
OTSEGO,0,9,16,1,0,1,0,4,1
PUTNAM,2,6,12,2,0,2,2,8,0
RENSSELAER,2,6,142,2,0,1,0,17,3
ROCKLAND,3,20,71,6,0,1,3,51,4
ST. LAWRENCE,12,6,10,1,1,0,0,1,2
SARATOGA,2,14,51,2,0,0,1,13,1
SCHENECTADY,0,7,167,2,0,0,0,17,0
SCHOHARIE,0,2,6,1,0,0,0,0,0
SCHUYLER,0,2,6,1,0,0,0,1,1
SENECA,0,2,10,1,0,8,0,2,0
STEUBEN,0,6,36,0,1,1,0,9,5
SUFFOLK,3,96,662,28,0,5,4,252,9
SULLIVAN,0,5,39,3,0,1,0,11,0
TIOGA,1,1,10,2,0,0,0,2,0
TOMPKINS,0,16,55,4,0,0,0,15,3
ULSTER,0,13,64,0,0,2,0,20,0
WARREN,0,1,7,0,0,0,0,0,1
WASHINGTON,0,2,11,0,0,0,0,2,2
WAYNE,0,5,24,1,0,0,0,7,0
WESTCHESTER,6,69,499,11,0,5,5,232,1
WYOMING,0,4,16,0,0,1,0,1,1
YATES,0,0,1,1,0,0,0,1,0
"",,"HERPES INF,",,LABORATORY,,LYMPHO-,,
"","HEPATITIS C,",INFANT <60,,CONFIRMED,,GRANULOMA,,
"",PAST/PRESENT,DAYS,HIV*,INFLUENZA,LEGIONELLOSIS,VENEREUM,LISTERIOSIS,LYME DISEASE**
ALBANY,202,0,34,671,7,0,0,288
ALLEGANY,23,0,1,35,3,0,0,6
BROOME,163,0,17,1224,16,0,3,201
CATTARAUGUS,66,0,2,84,4,0,0,12
CAYUGA,49,0,3,414,11,0,0,11
CHAUTAUQUA,114,0,10,440,2,0,1,2
CHEMUNG,64,0,3,87,4,0,0,62
CHENANGO,42,0,3,318,2,0,0,63
CLINTON,81,0,1,334,5,0,0,22
COLUMBIA,36,0,4,91,1,0,0,387
CORTLAND,42,0,3,170,16,0,0,11
DELAWARE,35,0,1,143,3,0,1,48
DUTCHESS,266,0,24,538,4,0,1,503
ERIE,816,1,121,1190,63,0,3,23
ESSEX,34,0,2,60,0,0,0,45
FRANKLIN,41,0,3,115,3,0,0,12
FULTON,36,0,0,51,0,0,0,24
GENESEE,41,0,1,172,4,0,1,10
GREENE,43,0,1,108,2,0,1,316
HAMILTON,4,0,0,6,0,0,0,1
HERKIMER,46,0,0,339,1,0,0,35
JEFFERSON,73,0,8,286,3,0,1,60
LEWIS,9,0,0,149,0,1,0,9
LIVINGSTON,29,0,4,194,1,0,0,2
MADISON,22,0,4,373,2,0,0,17
MONROE,402,1,77,2616,37,1,3,123
MONTGOMERY,41,0,2,115,1,0,0,22
NASSAU,544,2,113,2577,65,0,6,106
NIAGARA,258,0,10,168,12,0,0,5
ONEIDA,192,0,19,1783,5,0,2,89
ONONDAGA,422,0,46,2212,17,0,1,127
ONTARIO,39,0,3,485,3,0,0,26
ORANGE,284,1,14,891,13,0,1,694
ORLEANS,15,0,1,66,2,0,0,3
OSWEGO,80,0,1,891,5,0,0,51
OTSEGO,36,0,3,221,1,0,1,101
PUTNAM,64,0,1,174,3,0,1,322
RENSSELAER,100,0,6,265,0,0,1,541
ROCKLAND,139,1,19,329,9,0,1,336
ST. LAWRENCE,73,0,2,650,2,0,0,106
SARATOGA,82,0,10,899,8,0,3,253
SCHENECTADY,101,1,8,579,3,0,0,118
SCHOHARIE,9,0,0,51,0,0,0,33
SCHUYLER,9,0,2,89,1,0,1,26
SENECA,32,0,1,92,2,0,0,8
STEUBEN,64,0,3,230,8,0,0,36
SUFFOLK,860,4,95,2034,19,2,8,669
SULLIVAN,98,0,3,296,3,0,0,97
TIOGA,39,0,2,199,1,0,1,82
TOMPKINS,98,0,9,368,1,0,0,135
ULSTER,191,1,5,384,8,0,2,514
WARREN,46,0,0,193,3,0,0,40
WASHINGTON,18,0,1,248,4,0,0,75
WAYNE,51,0,4,568,2,0,0,13
WESTCHESTER,549,0,91,2429,35,0,0,385
WYOMING,18,0,2,42,3,0,0,3
YATES,8,0,0,149,0,0,0,23
"",,,MENINGITIS,MENINGO-,MENINGITIS OTHER,,,
"",MALARIA,MEASLES,ASEPTIC,COCCAL,BACT. AND UNKNOWN,MUMPS,PERTUSSIS,Q FEVER
ALBANY,5,0,11,0,0,0,5,0
ALLEGANY,1,0,1,0,0,0,8,0
BROOME,0,0,3,0,3,0,7,0
CATTARAUGUS,1,0,21,0,0,0,2,0
CAYUGA,0,0,4,0,0,0,0,0
CHAUTAUQUA,0,0,6,0,2,0,0,0
CHEMUNG,0,0,0,0,0,0,3,0
CHENANGO,0,0,3,0,0,0,0,0
CLINTON,1,0,1,0,1,0,26,0
COLUMBIA,0,0,5,0,0,0,0,0
CORTLAND,0,0,6,0,0,0,4,0
DELAWARE,0,0,1,0,0,0,10,0
DUTCHESS,1,1,0,1,0,0,7,0
ERIE,5,0,39,1,3,0,74,0
ESSEX,1,0,1,0,0,0,2,0
FRANKLIN,0,0,3,0,1,0,1,0
FULTON,0,0,0,0,0,0,1,0
GENESEE,0,0,4,0,0,0,11,0
GREENE,0,0,3,0,0,0,4,0
HAMILTON,0,0,0,0,0,0,0,0
HERKIMER,0,0,2,0,1,0,3,1
JEFFERSON,0,0,8,0,0,0,4,0
LEWIS,0,0,1,0,0,0,1,0
LIVINGSTON,0,0,0,0,0,0,19,0
MADISON,0,0,9,0,0,0,3,0
MONROE,3,0,3,3,1,0,50,0
MONTGOMERY,0,0,1,0,0,0,1,0
NASSAU,6,0,69,2,6,1,68,0
NIAGARA,0,0,7,0,3,0,0,0
ONEIDA,2,0,5,0,1,0,10,0
ONONDAGA,10,0,64,0,0,1,44,0
ONTARIO,0,0,1,0,0,0,7,0
ORANGE,5,0,3,0,1,2,37,0
ORLEANS,0,0,0,0,0,0,0,0
OSWEGO,0,0,7,0,0,0,0,0
OTSEGO,0,0,3,0,0,0,3,0
PUTNAM,0,0,3,0,0,0,8,0
RENSSELAER,1,0,7,0,1,0,1,0
ROCKLAND,1,0,20,1,3,5,21,0
ST. LAWRENCE,0,0,3,0,1,0,13,1
SARATOGA,1,0,12,0,0,2,4,0
SCHENECTADY,2,0,7,0,0,0,0,0
SCHOHARIE,0,0,0,0,0,0,0,0
SCHUYLER,0,0,0,0,0,0,0,1
SENECA,0,0,1,0,0,0,0,0
STEUBEN,0,0,0,0,2,1,5,0
SUFFOLK,5,0,71,0,7,4,70,0
SULLIVAN,0,0,0,0,0,1,1,0
TIOGA,0,0,0,0,0,0,2,0
TOMPKINS,1,0,1,0,0,0,4,0
ULSTER,0,0,2,0,0,0,4,1
WARREN,0,0,0,0,0,0,0,0
WASHINGTON,0,0,1,1,0,0,0,0
WAYNE,0,0,0,0,1,0,1,0
WESTCHESTER,6,0,35,0,22,7,62,0
WYOMING,0,0,0,0,0,0,5,0
YATES,0,0,0,0,0,0,0,0
"",,"RUBELLA,",,,STREP GROUP A,STREP GROUP,STREP PNEUMO,SYPHILIS
"",RMSF,CONGENITAL,SALMONELLOSIS,SHIGELLOSIS,INVASIVE,B INVASIVE,INVASIVE,EARLY
ALBANY,1,0,46,9,13,36,25,33
ALLEGANY,0,0,7,0,0,4,2,0
BROOME,0,0,14,1,6,21,17,13
CATTARAUGUS,0,0,7,0,7,5,8,3
CAYUGA,1,0,6,1,3,5,8,1
CHAUTAUQUA,0,0,19,3,7,14,13,4
CHEMUNG,0,0,16,1,2,14,15,3
CHENANGO,0,0,2,0,2,5,5,1
CLINTON,2,0,5,2,3,4,14,1
COLUMBIA,0,0,11,1,4,8,1,3
CORTLAND,0,0,7,1,0,5,6,4
DELAWARE,2,0,4,0,1,6,4,0
DUTCHESS,1,0,21,4,16,28,17,27
ERIE,0,0,102,6,32,85,65,121
ESSEX,1,0,3,0,8,4,3,0
FRANKLIN,2,0,10,0,4,2,2,0
FULTON,0,0,6,0,0,6,2,6
GENESEE,0,0,6,0,5,8,7,2
GREENE,1,0,6,0,2,3,4,2
HAMILTON,0,0,2,0,0,0,0,0
HERKIMER,0,0,11,0,3,12,4,1
JEFFERSON,0,0,12,1,3,13,6,6
LEWIS,0,0,6,0,1,5,3,2
LIVINGSTON,1,0,7,0,5,6,6,1
MADISON,0,0,10,0,5,13,8,4
MONROE,1,0,84,13,29,86,64,74
MONTGOMERY,0,0,6,0,2,14,1,1
NASSAU,1,0,156,79,29,103,78,170
NIAGARA,1,0,9,0,13,27,10,8
ONEIDA,1,0,29,2,7,21,22,5
ONONDAGA,0,0,58,1,16,60,38,39
ONTARIO,0,0,17,1,5,13,7,1
ORANGE,0,0,34,25,16,31,23,21
ORLEANS,1,0,4,0,2,3,2,1
OSWEGO,1,0,11,1,5,10,7,3
OTSEGO,0,0,9,0,4,5,7,2
PUTNAM,0,0,5,0,3,13,4,5
RENSSELAER,0,0,13,1,11,17,19,7
ROCKLAND,2,0,48,106,6,29,22,30
ST. LAWRENCE,0,0,14,0,2,18,11,3
SARATOGA,0,0,12,2,7,21,12,7
SCHENECTADY,0,0,11,1,6,10,18,15
SCHOHARIE,0,0,5,0,2,6,0,1
SCHUYLER,0,0,3,2,2,3,2,0
SENECA,0,0,5,0,1,4,2,3
STEUBEN,0,0,16,0,0,8,5,3
SUFFOLK,8,0,220,29,41,142,89,161
SULLIVAN,0,0,5,7,1,8,3,4
TIOGA,1,0,5,1,0,2,3,1
TOMPKINS,0,0,10,1,3,6,4,4
ULSTER,0,0,22,2,2,17,11,11
WARREN,0,0,7,0,0,6,8,0
WASHINGTON,0,0,8,0,2,6,9,2
WAYNE,1,0,13,0,5,13,10,1
WESTCHESTER,6,0,123,30,32,78,62,104
WYOMING,0,0,3,0,1,5,5,1
YATES,0,0,3,1,0,4,2,1
"",,,TOXIC,,,,,
"",SYPHILIS,,SHOCK,,,,,WEST NILE
"",LATE,TETANUS,SYNDROME,TUBERCULOSIS,TYPHOID FEVER,VIBRIOSIS,VISA,FEVER
ALBANY,16,0,7,2,0,1,0,0
ALLEGANY,0,0,0,0,0,0,0,0
BROOME,3,0,0,3,1,0,0,0
CATTARAUGUS,0,0,0,0,0,1,0,0
CAYUGA,0,0,0,4,0,2,0,0
CHAUTAUQUA,2,0,0,0,0,0,0,0
CHEMUNG,3,0,0,0,0,1,0,0
CHENANGO,0,0,0,0,0,0,0,0
CLINTON,0,0,0,2,0,0,0,0
COLUMBIA,2,0,1,3,0,0,0,0
CORTLAND,0,0,0,0,0,0,0,0
DELAWARE,0,0,0,0,0,0,0,0
DUTCHESS,18,0,0,5,0,0,0,0
ERIE,49,0,0,13,0,1,5,0
ESSEX,1,0,0,0,0,0,0,0
FRANKLIN,1,0,0,0,0,0,0,0
FULTON,0,0,0,0,0,1,0,0
GENESEE,3,0,0,0,0,0,0,0
GREENE,1,0,0,0,0,0,1,0
HAMILTON,0,0,0,0,0,0,0,0
HERKIMER,0,0,0,0,0,0,0,0
JEFFERSON,6,0,0,2,0,0,1,0
LEWIS,0,0,0,0,0,0,0,0
LIVINGSTON,1,0,0,0,0,0,0,0
MADISON,1,0,0,0,0,0,0,0
MONROE,91,0,4,17,0,2,2,0
MONTGOMERY,0,0,0,0,0,0,0,0
NASSAU,73,0,0,40,2,11,0,2
NIAGARA,4,0,0,4,0,1,0,0
ONEIDA,14,0,0,5,0,0,0,0
ONONDAGA,6,0,1,10,0,0,1,0
ONTARIO,3,0,1,2,0,0,0,0
ORANGE,10,0,0,2,0,0,0,0
ORLEANS,0,0,0,0,0,0,0,0
OSWEGO,3,0,0,0,0,2,0,0
OTSEGO,1,0,0,1,0,0,0,0
PUTNAM,3,0,0,0,0,0,0,0
RENSSELAER,4,1,2,0,0,0,0,0
ROCKLAND,45,0,0,8,1,0,0,0
ST. LAWRENCE,1,0,1,1,0,0,0,0
SARATOGA,1,0,0,1,1,2,0,0
SCHENECTADY,4,0,0,3,0,1,0,0
SCHOHARIE,0,0,0,0,0,0,0,0
SCHUYLER,0,0,0,0,0,0,0,0
SENECA,3,0,0,0,0,0,0,0
STEUBEN,2,0,0,0,0,0,0,0
SUFFOLK,122,0,0,24,2,15,1,2
SULLIVAN,1,0,0,0,0,1,0,0
TIOGA,0,0,0,0,0,0,0,0
TOMPKINS,1,0,0,2,1,2,0,0
ULSTER,9,0,0,0,0,0,0,0
WARREN,1,0,0,0,0,0,0,0
WASHINGTON,0,0,0,0,0,0,0,0
WAYNE,1,0,0,0,0,0,0,0
WESTCHESTER,100,0,1,34,2,4,2,0
WYOMING,0,0,0,0,0,0,0,0
YATES,0,0,0,0,0,0,0,0
"",WEST NILE,,
"",VIRUS,YERSINIOSIS,ZIKA VIRUS
ALBANY,0,1,0
ALLEGANY,0,1,0
BROOME,0,0,0
CATTARAUGUS,0,0,0
CAYUGA,0,0,0
CHAUTAUQUA,0,0,0
CHEMUNG,0,0,0
CHENANGO,0,0,0
CLINTON,0,0,0
COLUMBIA,0,0,0
CORTLAND,0,0,0
DELAWARE,0,1,0
DUTCHESS,0,1,0
ERIE,0,3,0
ESSEX,0,0,0
FRANKLIN,0,0,0
FULTON,0,1,0
GENESEE,0,0,0
GREENE,0,0,0
HAMILTON,0,0,0
HERKIMER,0,0,0
JEFFERSON,0,1,0
LEWIS,0,0,0
LIVINGSTON,0,0,0
MADISON,0,1,0
MONROE,1,2,0
MONTGOMERY,0,1,0
NASSAU,7,7,1
NIAGARA,1,0,0
ONEIDA,0,0,0
ONONDAGA,0,1,0
ONTARIO,0,1,0
ORANGE,0,1,0
ORLEANS,0,0,0
OSWEGO,0,1,0
OTSEGO,0,0,0
PUTNAM,0,2,0
RENSSELAER,0,0,0
ROCKLAND,1,0,0
ST. LAWRENCE,0,0,0
SARATOGA,0,0,0
SCHENECTADY,0,4,0
SCHOHARIE,0,0,0
SCHUYLER,0,0,0
SENECA,0,1,0
STEUBEN,0,0,0
SUFFOLK,3,4,0
SULLIVAN,0,0,0
TIOGA,0,0,0
TOMPKINS,0,0,0
ULSTER,0,0,0
WARREN,0,1,0
WASHINGTON,0,0,0
WAYNE,0,1,0
WESTCHESTER,3,4,0
WYOMING,0,0,0
YATES,0,0,0
