"",,ANAPLAS-,"ARBO, OTHER",,,,CAMPYLO-,
LEWIS,7.4,48.4,0.0,1060.9,3.7,0.0,70.7,0.0
LIVINGSTON,1.6,56.0,0.0,306.6,6.2,1.6,21.8,0.0
MADISON,0.0,65.9,0.0,712.2,1.4,0.0,93.9,0.0
MONROE,1.2,46.8,0.0,495.0,7.1,0.1,24.6,0.5
MONTGOMERY,4.1,119.7,0.0,621.0,0.0,0.0,85.2,0.0
NASSAU,0.9,36.3,0.0,329.3,6.5,0.7,9.4,0.0
NIAGARA,2.4,94.0,0.0,146.9,15.1,0.0,3.3,0.0
ONEIDA,2.6,83.5,0.0,1223.7,4.8,0.4,41.5,0.0
ONONDAGA,1.3,99.5,1.9,578.7,8.6,0.4,27.5,0.0
ONTARIO,2.7,47.3,0.0,516.3,7.3,0.0,56.5,0.0
ORANGE,1.3,76.5,0.0,324.9,2.9,0.3,137.4,0.0
ORLEANS,0.0,50.8,0.0,234.6,2.4,0.0,4.8,0.0
OSWEGO,3.4,85.7,8.3,666.5,1.7,0.0,105.1,0.0
OTSEGO,3.3,61.6,0.0,452.6,8.3,0.0,311.2,0.0
PUTNAM,7.1,54.6,0.0,430.7,2.0,1.0,349.9,0.0
RENSSELAER,3.7,53.1,0.0,298.0,1.9,0.0,395.5,0.6
ROCKLAND,1.8,37.0,3.9,202.9,4.0,0.9,63.3,0.0
ST. LAWRENCE,9.1,91.8,8.5,679.8,3.6,0.0,209.0,0.0
SARATOGA,0.9,29.1,0.0,532.9,3.1,0.0,139.2,0.0
SCHENECTADY,0.0,71.2,0.0,621.8,5.2,0.6,74.4,0.0
SCHOHARIE,0.0,57.5,0.0,239.5,6.4,0.0,188.4,0.0
SCHUYLER,0.0,60.8,0.0,303.9,5.5,0.0,254.2,0.0
SENECA,11.5,126.5,0.0,345.1,2.9,0.0,51.8,0.0
STEUBEN,4.1,53.6,0.0,327.0,5.2,0.0,108.3,0.0
SUFFOLK,0.3,55.3,0.0,294.8,2.3,0.5,35.0,0.0
SULLIVAN,0.0,109.6,0.0,443.8,5.3,0.0,50.8,0.0
TIOGA,2.1,112.8,0.0,523.0,2.1,2.1,252.3,0.0
TOMPKINS,4.8,62.9,0.0,632.2,2.9,0.0,176.4,0.0
ULSTER,1.7,88.7,0.0,358.8,4.5,0.0,233.8,0.0
WARREN,0.0,58.9,0.0,238.5,1.5,0.0,37.2,0.0
WASHINGTON,1.6,58.3,0.0,270.2,6.5,0.0,139.2,0.0
WAYNE,5.5,44.1,0.0,572.7,3.3,0.0,23.1,0.0
WESTCHESTER,0.5,36.6,0.9,531.4,4.5,0.5,41.8,0.0
WYOMING,0.0,36.8,0.0,181.4,0.0,0.0,4.9,0.0
YATES,4.0,36.1,0.0,381.2,0.0,0.0,224.7,0.0
"",,,,,,MENINGITIS,,
"",,,,MENINGITIS,MENINGO-,OTHER BACT. AND,,
"",MALARIA,MEASLES,MELIOIDOSIS,ASEPTIC,COCCAL,UNKNOWN,MUMPS,PERTUSSIS
ALBANY,3.6,0.0,0.0,4.2,0.0,0.6,11.3,5.5
ALLEGANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
BROOME,0.0,0.0,0.0,3.1,2.0,2.6,2.6,4.1
CATTARAUGUS,0.0,0.0,0.0,2.6,0.0,1.3,0.0,1.3
CAYUGA,0.0,0.0,0.0,1.3,0.0,0.0,1.3,18.0
CHAUTAUQUA,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.9
CHEMUNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHENANGO,0.0,0.0,0.0,4.1,0.0,0.0,0.0,4.1
CLINTON,0.0,0.0,0.0,11.1,0.0,1.2,1.2,38.2
COLUMBIA,1.6,0.0,0.0,8.2,0.0,0.0,0.0,11.5
CORTLAND,0.0,0.0,0.0,10.4,2.1,2.1,4.2,2.1
DELAWARE,0.0,0.0,0.0,2.2,0.0,0.0,0.0,6.6
DUTCHESS,0.7,0.0,0.0,0.7,0.0,0.0,0.0,6.5
ERIE,0.7,0.0,0.0,2.7,0.0,0.8,0.2,1.3
ESSEX,0.0,0.0,0.0,0.0,0.0,0.0,7.9,7.9
FRANKLIN,0.0,0.0,0.0,6.0,0.0,2.0,0.0,7.9
FULTON,0.0,0.0,0.0,0.0,0.0,0.0,3.7,5.6
GENESEE,0.0,0.0,0.0,3.4,0.0,0.0,0.0,1.7
GREENE,0.0,0.0,0.0,4.2,0.0,0.0,10.5,0.0
HAMILTON,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
HERKIMER,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.6
JEFFERSON,0.9,0.0,0.0,5.3,0.0,0.9,0.0,6.1
LEWIS,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0
LIVINGSTON,0.0,0.0,0.0,1.6,0.0,0.0,1.6,20.2
MADISON,1.4,0.0,0.0,2.8,0.0,0.0,0.0,4.2
MONROE,0.7,0.0,0.1,0.0,0.0,0.0,0.3,4.0
MONTGOMERY,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
NASSAU,0.4,0.0,0.0,4.3,0.1,0.7,0.6,3.5
NIAGARA,0.0,0.0,0.0,5.7,0.0,0.9,0.0,0.5
ONEIDA,0.0,0.0,0.0,4.3,0.0,0.9,0.0,2.2
ONONDAGA,2.1,0.2,0.0,9.7,0.0,0.0,33.9,11.8
ONTARIO,0.0,0.0,0.0,0.9,0.0,0.0,0.0,14.6
ORANGE,0.3,0.0,0.0,0.8,0.0,0.0,0.0,5.3
ORLEANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
OSWEGO,1.7,0.0,0.0,1.7,0.0,0.0,0.0,5.0
OTSEGO,0.0,0.0,0.0,1.7,0.0,0.0,1.7,18.3
PUTNAM,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0
RENSSELAER,0.0,0.0,0.0,5.0,0.0,0.0,2.5,3.7
ROCKLAND,0.3,0.0,0.0,6.4,0.0,1.2,1.2,2.4
ST. LAWRENCE,0.0,0.0,0.0,0.9,0.9,2.7,1.8,2.7
SARATOGA,1.8,0.0,0.0,2.2,0.0,0.0,14.5,1.8
SCHENECTADY,0.6,0.0,0.0,0.0,0.0,0.0,1.3,1.9
SCHOHARIE,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0
SCHUYLER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2
SENECA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
STEUBEN,0.0,0.0,0.0,2.1,0.0,1.0,0.0,11.3
SUFFOLK,0.4,0.1,0.0,3.3,0.1,0.1,0.5,3.1
SULLIVAN,0.0,0.0,0.0,0.0,0.0,0.0,1.3,8.0
TIOGA,0.0,0.0,0.0,6.2,0.0,0.0,2.1,6.2
TOMPKINS,1.0,0.0,0.0,2.9,0.0,0.0,0.0,19.1
ULSTER,0.0,0.0,0.0,0.0,0.0,0.0,2.8,5.6
WARREN,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.5
WASHINGTON,0.0,0.0,0.0,1.6,0.0,0.0,3.2,4.9
WAYNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
WESTCHESTER,0.8,0.0,0.0,3.5,0.3,1.0,0.5,3.4
WYOMING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
YATES,0.0,0.0,0.0,0.0,0.0,4.0,0.0,84.3
"",,,,,,,STREP GROUP A,STREP GROUP B
"",PSITTACOSIS,Q FEVER,RMSF,RUBELLA,SALMONELLOSIS,SHIGELLOSIS,INVASIVE,INVASIVE
ALBANY,0.0,0.0,0.6,0.0,10.0,1.0,6.8,10.7
ALLEGANY,0.0,0.0,0.0,0.0,6.4,0.0,4.2,4.2
BROOME,0.5,0.0,0.5,0.0,9.2,1.0,5.6,13.8
CATTARAUGUS,0.0,0.0,0.0,0.0,14.2,0.0,1.3,14.2
CAYUGA,0.0,0.0,0.0,0.0,7.7,3.9,1.3,12.8
CHAUTAUQUA,0.0,0.0,0.0,0.0,11.6,0.8,4.6,8.5
CHEMUNG,0.0,0.0,0.0,0.0,4.6,0.0,7.0,5.8
CHENANGO,0.0,0.0,0.0,0.0,8.2,0.0,6.2,12.4
CLINTON,0.0,0.0,2.5,0.0,6.2,0.0,1.2,16.0
COLUMBIA,0.0,0.0,0.0,0.0,4.9,1.6,1.6,8.2
CORTLAND,0.0,0.0,0.0,0.0,8.3,2.1,2.1,16.6
DELAWARE,0.0,0.0,2.2,0.0,11.0,2.2,6.6,15.4
DUTCHESS,0.0,0.0,0.7,0.0,12.9,0.0,5.1,10.2
ERIE,0.0,0.0,0.0,0.0,10.4,4.1,7.7,11.2
ESSEX,0.0,0.0,0.0,0.0,15.7,2.6,2.6,5.2
FRANKLIN,0.0,0.0,0.0,0.0,6.0,0.0,9.9,9.9
FULTON,0.0,0.0,0.0,0.0,7.4,0.0,11.1,16.7
GENESEE,0.0,0.0,0.0,0.0,13.7,0.0,1.7,20.5
GREENE,0.0,0.0,0.0,0.0,2.1,2.1,6.3,10.5
HAMILTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERKIMER,0.0,0.0,0.0,0.0,8.0,0.0,6.4,14.4
JEFFERSON,0.0,0.0,0.0,0.0,22.8,0.0,4.4,13.2
LEWIS,0.0,0.0,0.0,0.0,22.3,3.7,3.7,3.7
LIVINGSTON,0.0,0.0,0.0,0.0,9.3,1.6,3.1,9.3
MADISON,0.0,0.0,0.0,0.0,15.4,1.4,8.4,8.4
MONROE,0.0,0.0,0.0,0.0,15.2,7.8,7.6,13.5
MONTGOMERY,0.0,0.0,0.0,0.0,14.2,0.0,12.2,20.3
NASSAU,0.0,0.0,0.5,0.0,12.3,3.3,4.0,12.0
NIAGARA,0.0,0.0,0.0,0.0,5.2,1.4,8.5,9.9
ONEIDA,0.0,0.0,0.0,0.0,7.8,0.4,5.2,16.4
ONONDAGA,0.0,0.0,0.0,0.0,14.2,3.2,5.6,10.3
ONTARIO,0.0,0.0,0.0,0.0,13.7,6.4,4.6,13.7
ORANGE,0.0,0.0,0.0,0.0,7.6,0.8,3.7,8.7
ORLEANS,0.0,0.0,0.0,0.0,14.5,7.3,0.0,21.8
OSWEGO,0.0,0.0,0.0,0.0,9.2,1.7,5.0,4.2
OTSEGO,0.0,0.0,0.0,0.0,11.6,0.0,11.6,13.3
PUTNAM,0.0,0.0,0.0,0.0,18.2,1.0,3.0,9.1
RENSSELAER,0.0,0.0,0.0,0.0,6.9,1.2,7.5,10.0
ROCKLAND,0.0,0.0,1.2,0.0,14.4,1.8,3.7,8.9
ST. LAWRENCE,0.0,0.0,0.0,0.0,11.8,0.9,6.4,10.9
SARATOGA,0.0,0.0,1.3,0.0,4.0,0.0,4.4,10.6
SCHENECTADY,0.0,0.0,1.3,0.0,7.8,5.8,7.1,7.8
SCHOHARIE,0.0,0.0,0.0,0.0,9.6,0.0,0.0,6.4
SCHUYLER,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0
SENECA,0.0,0.0,0.0,0.0,17.3,2.9,11.5,14.4
STEUBEN,0.0,0.0,0.0,0.0,12.4,1.0,2.1,14.4
SUFFOLK,0.0,0.0,0.4,0.0,13.3,2.5,3.8,9.6
