"",,,ANAPLAS-,"ARBO,OTHER",,,,CAMPYLO-,
CHEMUNG,0,8,50,3,0,0,1,3,3
CHENANGO,0,6,6,1,0,1,0,3,0
CLINTON,0,6,14,4,0,0,0,4,8
COLUMBIA,1,3,22,2,0,1,0,5,3
CORTLAND,2,2,17,2,0,0,0,2,3
DELAWARE,0,13,6,0,0,0,0,2,3
DUTCHESS,0,19,108,3,0,2,0,37,2
ERIE,0,115,1874,19,1,2,4,159,12
ESSEX,0,7,2,0,0,1,0,2,4
FRANKLIN,0,11,2,0,0,0,0,2,6
FULTON,0,8,23,1,0,0,0,1,0
GENESEE,0,2,23,1,0,0,2,2,2
GREENE,0,5,9,2,1,0,0,6,2
HAMILTON,0,1,1,0,0,0,0,0,0
HERKIMER,0,17,22,5,0,1,0,1,3
JEFFERSON,7,14,85,3,0,0,0,11,2
LEWIS,0,14,4,1,0,0,0,2,1
LIVINGSTON,0,11,14,0,1,0,0,1,0
MADISON,0,12,21,0,0,0,0,0,3
MONROE,0,36,2207,11,1,1,5,78,20
MONTGOMERY,0,2,15,4,0,0,0,2,2
NASSAU,2,105,556,38,0,10,3,408,3
NIAGARA,0,8,306,8,0,1,1,12,4
ONEIDA,0,38,111,2,0,2,2,47,5
ONONDAGA,1,42,1006,8,0,1,1,90,4
ONTARIO,0,7,67,1,0,1,1,8,4
ORANGE,0,26,224,7,0,2,3,46,1
ORLEANS,1,1,21,1,0,0,0,1,0
OSWEGO,0,10,62,4,0,0,1,2,4
OTSEGO,0,11,21,0,0,0,0,7,7
PUTNAM,0,9,18,2,0,2,0,10,4
RENSSELAER,4,6,169,3,0,0,1,13,1
ROCKLAND,12,29,114,8,0,0,0,77,2
ST. LAWRENCE,1,11,20,6,1,0,3,5,10
SARATOGA,0,20,65,4,0,0,0,16,6
SCHENECTADY,0,11,244,4,0,1,0,20,3
SCHOHARIE,0,3,3,0,0,0,0,1,2
SCHUYLER,0,2,0,0,0,0,0,0,0
SENECA,0,0,22,0,0,0,1,0,1
STEUBEN,0,5,23,2,0,0,0,6,5
SUFFOLK,9,118,573,21,0,8,6,310,9
SULLIVAN,0,7,54,4,0,1,0,8,1
TIOGA,0,6,20,1,0,0,0,2,1
TOMPKINS,2,15,81,3,0,0,0,12,6
ULSTER,0,14,64,0,0,0,2,22,1
WARREN,0,5,9,2,0,0,0,2,1
WASHINGTON,0,5,25,1,1,0,0,1,3
WAYNE,1,5,133,1,0,1,0,4,1
WESTCHESTER,6,87,585,16,0,6,2,247,1
WYOMING,0,4,11,0,0,0,0,4,0
YATES,0,1,7,0,0,1,0,1,0
"",,"HERPES INF,",,LABORATORY,,,,LYMPHO-
"",HEPATITIS C,INFANT <60,,CONFIRMED,,,LYME,GRANULOMA
"",CHRONIC*,DAYS,HIV**,INFLUENZA,LEGIONELLOSIS,LISTERIOSIS,DISEASE***,VENEREUM
ALBANY,178,0,26,760,10,3,153,0
ALLEGANY,26,0,0,87,3,0,4,0
BROOME,178,1,16,690,11,1,294,0
CATTARAUGUS,72,0,0,95,4,0,12,0
CAYUGA,54,1,3,219,10,1,7,0
CHAUTAUQUA,137,0,5,397,4,2,4,0
CHEMUNG,90,0,7,198,2,0,94,0
CHENANGO,32,0,6,208,0,0,44,0
CLINTON,69,0,3,153,7,0,30,0
COLUMBIA,23,0,6,143,0,0,391,0
CORTLAND,53,0,3,106,14,0,25,0
DELAWARE,38,0,2,136,0,0,55,0
DUTCHESS,246,1,22,781,4,1,386,0
ERIE,942,0,85,2309,70,4,53,0
ESSEX,16,0,NA,45,1,0,75,0
FRANKLIN,41,0,2,131,2,0,15,0
FULTON,35,2,2,116,0,0,6,0
GENESEE,41,0,4,283,1,0,6,0
GREENE,33,0,3,91,0,0,297,0
HAMILTON,4,0,NA,7,0,0,2,0
HERKIMER,34,0,1,347,2,0,25,0
JEFFERSON,81,0,4,322,2,0,53,0
LEWIS,13,0,NA,121,1,0,16,0
LIVINGSTON,23,0,1,116,3,0,3,0
MADISON,29,0,4,232,2,0,29,0
MONROE,339,3,48,2824,29,3,109,0
MONTGOMERY,28,0,1,192,1,0,14,0
NASSAU,559,1,111,3428,57,9,154,0
NIAGARA,225,0,6,250,44,0,0,0
ONEIDA,217,2,10,1734,9,0,33,0
ONONDAGA,430,1,30,1532,13,2,31,0
ONTARIO,35,0,4,418,5,1,21,0
ORANGE,272,0,36,1055,9,0,531,0
ORLEANS,19,0,0,85,1,0,2,0
OSWEGO,70,1,4,536,6,0,76,0
OTSEGO,38,0,1,107,1,0,106,0
PUTNAM,67,0,1,299,1,0,344,0
RENSSELAER,62,0,8,304,1,0,497,0
ROCKLAND,148,1,24,573,8,0,165,0
ST. LAWRENCE,79,0,NA,456,1,2,135,1
SARATOGA,69,0,5,774,31,1,245,0
SCHENECTADY,89,0,17,789,1,1,117,0
SCHOHARIE,9,0,0,50,1,0,30,0
SCHUYLER,11,0,NA,41,3,1,20,0
SENECA,35,0,0,45,2,0,12,0
STEUBEN,64,0,0,138,2,0,68,0
SUFFOLK,882,1,106,3559,29,11,644,3
SULLIVAN,108,0,8,495,1,0,101,0
TIOGA,46,0,1,123,1,0,65,0
TOMPKINS,53,0,7,430,3,1,129,0
ULSTER,139,0,8,345,8,1,351,0
WARREN,33,0,1,81,5,0,54,0
WASHINGTON,26,0,2,122,11,0,85,0
WAYNE,46,0,4,386,3,1,17,0
WESTCHESTER,423,4,96,4201,22,3,343,0
WYOMING,23,0,0,57,1,0,3,0
YATES,5,0,NA,67,0,0,16,0
"",,,MENINGITIS,MENINGO-,MENINGITIS OTHER,,,
"",MALARIA,MEASLES,ASEPTIC,COCCAL,BACT. AND UNKNOWN,MUMPS,PERTUSSIS,Q FEVER
ALBANY,6,0,22,0,0,0,9,0
ALLEGANY,0,0,3,0,0,0,2,0
BROOME,3,0,6,4,1,2,2,0
CATTARAUGUS,1,0,2,0,1,0,1,0
CAYUGA,0,0,4,0,0,0,3,1
CHAUTAUQUA,0,0,1,0,2,0,4,0
CHEMUNG,0,0,0,1,0,0,0,0
CHENANGO,0,0,1,0,0,0,3,0
CLINTON,1,0,6,0,1,1,9,0
COLUMBIA,1,0,0,0,0,1,4,0
CORTLAND,0,0,0,0,0,0,2,0
DELAWARE,0,0,1,0,0,0,2,0
DUTCHESS,2,0,0,1,0,5,85,0
ERIE,4,0,28,0,8,7,25,0
ESSEX,0,0,0,0,0,0,0,0
FRANKLIN,0,0,2,0,0,0,0,0
FULTON,0,0,0,0,0,0,0,0
GENESEE,0,0,1,0,0,0,0,0
GREENE,0,0,1,0,0,0,0,1
HAMILTON,0,0,0,0,0,0,0,0
HERKIMER,0,0,0,0,0,0,0,0
JEFFERSON,0,0,6,0,1,2,6,0
LEWIS,0,0,2,0,0,0,3,0
LIVINGSTON,0,0,0,0,0,26,6,0
MADISON,1,0,0,0,0,1,3,0
MONROE,8,0,1,0,0,5,62,0
MONTGOMERY,0,0,2,0,0,0,0,0
NASSAU,12,0,69,0,7,56,87,0
NIAGARA,2,0,4,0,1,1,3,0
ONEIDA,0,0,0,0,0,0,13,0
ONONDAGA,9,0,29,1,0,0,21,0
ONTARIO,0,0,0,0,0,0,9,0
ORANGE,1,0,0,0,0,7,20,0
ORLEANS,0,0,0,0,0,0,0,0
OSWEGO,0,0,1,0,0,2,2,0
OTSEGO,1,0,0,0,0,0,0,0
PUTNAM,0,0,3,0,2,0,6,0
RENSSELAER,0,0,10,0,0,1,0,0
ROCKLAND,1,0,14,2,1,1,17,0
ST. LAWRENCE,1,0,4,0,1,1,9,0
SARATOGA,0,0,7,1,0,1,13,0
SCHENECTADY,1,0,1,0,1,0,1,0
SCHOHARIE,0,0,0,0,0,0,0,0
SCHUYLER,0,0,0,0,0,0,0,0
SENECA,0,0,0,0,1,0,1,0
STEUBEN,0,0,2,0,0,0,4,0
SUFFOLK,9,0,52,0,3,9,103,0
SULLIVAN,0,0,0,0,0,0,36,0
TIOGA,0,0,0,0,1,0,1,0
TOMPKINS,1,0,1,1,0,1,4,0
ULSTER,1,0,0,0,0,77,8,0
WARREN,0,0,1,0,0,0,0,0
WASHINGTON,0,0,0,0,0,0,0,0
WAYNE,0,0,0,0,0,1,14,0
WESTCHESTER,9,0,44,0,9,6,58,0
WYOMING,0,0,0,0,0,0,0,0
YATES,0,0,0,0,0,0,2,0
"",,,,STREP GROUP A,STREP GROUP B,STREP PNEUMO,
"",RMSF,SALMONELLOSIS,SHIGELLOSIS,INVASIVE,INVASIVE,INVASIVE,SYPHILIS EARLY
ALBANY,0,21,8,21,40,37,60
ALLEGANY,0,8,0,0,1,6,2
BROOME,0,16,6,10,30,20,5
CATTARAUGUS,0,7,0,3,9,6,1
CAYUGA,0,9,2,3,10,9,1
CHAUTAUQUA,0,30,0,6,9,11,4
CHEMUNG,0,12,1,1,12,11,6
CHENANGO,0,10,0,1,10,10,1
CLINTON,0,11,1,4,10,5,6
COLUMBIA,1,8,3,1,8,4,6
CORTLAND,0,5,0,2,6,8,4
DELAWARE,1,7,1,4,10,7,1
DUTCHESS,3,37,4,15,40,15,53
ERIE,0,90,23,58,93,71,87
ESSEX,0,4,0,2,2,5,0
FRANKLIN,0,9,0,2,13,8,0
FULTON,0,5,0,4,6,6,1
GENESEE,0,13,0,3,5,4,1
GREENE,0,8,0,4,4,11,3
HAMILTON,0,1,0,0,0,0,0
HERKIMER,0,7,1,4,6,6,2
JEFFERSON,0,17,3,1,12,9,0
LEWIS,0,8,0,0,6,0,0
LIVINGSTON,0,9,2,4,8,5,0
MADISON,0,8,0,2,2,7,7
MONROE,2,73,22,23,83,66,79
MONTGOMERY,0,8,0,1,9,9,0
NASSAU,2,145,38,44,136,83,190
NIAGARA,0,26,1,14,16,14,5
ONEIDA,1,31,4,13,49,18,9
ONONDAGA,0,62,2,26,42,42,36
ONTARIO,0,20,2,4,14,10,4
ORANGE,1,44,6,11,46,38,33
ORLEANS,0,5,0,2,6,4,3
OSWEGO,0,15,0,5,14,8,4
OTSEGO,0,9,0,2,12,4,2
PUTNAM,0,9,2,2,8,7,14
RENSSELAER,1,18,3,6,11,16,17
ROCKLAND,0,36,8,12,31,25,25
ST. LAWRENCE,0,35,0,4,14,14,6
SARATOGA,0,23,2,9,19,20,13
SCHENECTADY,0,17,5,11,21,15,12
SCHOHARIE,0,2,0,1,5,0,1
SCHUYLER,0,5,1,2,4,6,0
SENECA,0,12,0,5,4,2,2
STEUBEN,0,19,0,2,7,9,1
SUFFOLK,12,208,37,49,141,95,165
SULLIVAN,0,10,1,3,5,6,7
TIOGA,0,20,1,4,9,6,0
TOMPKINS,2,18,7,3,9,9,12
ULSTER,0,21,1,7,19,10,9
WARREN,0,5,0,0,7,6,3
WASHINGTON,0,10,0,2,5,11,0
WAYNE,0,11,0,3,13,5,4
WESTCHESTER,1,123,25,23,98,67,113
WYOMING,0,4,1,0,5,9,0
YATES,0,2,0,3,4,1,1
"",,,TOXIC,,,,,
"",SYPHILIS,,SHOCK,,,,,WEST NILE
"",LATE,TETANUS,SYNDROME,TUBERCULOSIS,TYPHOID FEVER,VIBRIOSIS,VISA,FEVER
ALBANY,11,0,1,2,0,1,0,0
ALLEGANY,0,0,0,0,0,0,0,0
BROOME,7,0,0,3,0,0,0,0
CATTARAUGUS,1,1,0,0,0,1,0,0
CAYUGA,0,0,0,1,0,0,0,0
CHAUTAUQUA,3,0,0,0,0,1,0,0
CHEMUNG,3,0,0,2,0,0,0,0
CHENANGO,1,0,0,0,0,0,0,0
CLINTON,1,0,0,0,0,0,0,0
COLUMBIA,5,0,0,0,0,0,0,0
CORTLAND,0,0,0,0,0,0,0,0
DELAWARE,0,0,0,1,0,0,0,0
DUTCHESS,12,0,0,1,1,0,0,0
ERIE,47,0,0,13,1,2,2,0
ESSEX,0,0,0,0,0,0,0,0
FRANKLIN,0,0,0,0,0,0,0,0
FULTON,0,0,0,0,0,0,0,0
GENESEE,0,0,0,2,1,0,0,0
GREENE,1,0,2,1,0,1,0,0
HAMILTON,0,0,0,0,0,1,0,0
HERKIMER,2,0,0,0,0,0,0,0
JEFFERSON,3,0,0,0,0,0,0,0
LEWIS,0,0,0,1,0,0,0,0
LIVINGSTON,2,0,0,1,0,0,0,0
MADISON,1,0,0,0,0,0,0,0
MONROE,84,0,1,24,1,6,0,0
MONTGOMERY,1,0,1,1,0,0,0,0
NASSAU,69,0,0,38,3,6,0,1
NIAGARA,7,0,0,2,0,0,0,0
ONEIDA,9,0,0,8,0,0,0,0
ONONDAGA,7,0,0,17,0,1,2,0
ONTARIO,2,0,1,0,0,0,0,0
ORANGE,10,0,0,7,0,1,0,0
ORLEANS,1,0,0,0,0,0,0,0
OSWEGO,1,0,0,1,0,5,0,0
OTSEGO,0,0,0,0,0,0,0,0
PUTNAM,2,0,0,0,0,0,1,0
RENSSELAER,7,0,0,2,0,3,0,0
ROCKLAND,44,0,0,4,0,1,0,0
ST. LAWRENCE,2,1,0,0,0,0,1,0
SARATOGA,3,0,1,1,0,1,0,0
SCHENECTADY,12,0,1,2,0,2,0,0
SCHOHARIE,1,0,0,0,0,0,0,0
SCHUYLER,1,0,0,0,0,0,0,0
SENECA,3,0,0,0,0,0,0,0
STEUBEN,3,0,0,0,0,0,0,0
SUFFOLK,139,0,0,34,9,13,0,1
SULLIVAN,0,0,0,1,0,0,0,0
TIOGA,0,0,0,0,0,0,0,0
TOMPKINS,3,0,0,2,0,0,0,0
ULSTER,13,0,0,1,0,1,0,0
WARREN,0,0,0,1,0,0,0,0
WASHINGTON,0,0,0,0,0,0,0,0
WAYNE,9,0,0,1,0,0,0,0
WESTCHESTER,123,0,2,28,4,5,0,0
WYOMING,1,0,0,0,0,0,0,0
YATES,0,0,0,0,0,0,0,0
"",WEST NILE,,,
"",VIRUS,YELLOW FEVER,YERSINIOSIS,ZIKA VIRUS
ALBANY,0,0,0,5
ALLEGANY,0,0,0,0
BROOME,0,0,0,4
CATTARAUGUS,0,0,0,0
CAYUGA,0,0,0,0
CHAUTAUQUA,0,0,0,0
CHEMUNG,0,1,0,0
CHENANGO,0,0,0,0
CLINTON,0,0,0,2
COLUMBIA,0,0,1,3
CORTLAND,0,0,0,1
DELAWARE,0,0,0,2
DUTCHESS,1,0,3,11
ERIE,0,0,6,4
ESSEX,0,0,0,1
FRANKLIN,0,0,0,0
FULTON,0,0,0,0
GENESEE,0,0,1,0
GREENE,0,0,0,0
HAMILTON,0,0,0,0
HERKIMER,0,0,0,0
JEFFERSON,0,0,6,2
LEWIS,0,0,0,1
LIVINGSTON,0,0,0,0
MADISON,0,0,0,0
MONROE,1,0,3,24
MONTGOMERY,0,0,1,2
NASSAU,6,0,3,59
NIAGARA,0,0,0,2
ONEIDA,0,0,0,4
ONONDAGA,0,0,2,11
ONTARIO,0,0,4,3
ORANGE,0,0,0,11
ORLEANS,0,0,0,0
OSWEGO,1,0,2,0
OTSEGO,0,0,0,2
PUTNAM,0,0,0,2
RENSSELAER,0,0,0,1
ROCKLAND,0,0,2,18
ST. LAWRENCE,0,0,1,1
SARATOGA,0,0,1,2
SCHENECTADY,1,0,1,2
SCHOHARIE,0,0,0,0
SCHUYLER,0,0,0,0
SENECA,0,0,0,0
STEUBEN,0,0,1,1
SUFFOLK,4,0,4,66
SULLIVAN,0,0,0,0
TIOGA,0,0,0,0
TOMPKINS,0,0,0,3
ULSTER,0,0,1,0
WARREN,0,0,1,0
WASHINGTON,0,0,2,1
WAYNE,0,0,0,2
WESTCHESTER,0,0,5,37
WYOMING,0,0,1,0
YATES,0,0,0,0
