"",,,ANAPLAS-,"ARBO, OTHER",,,,CAMPYLO-,
NIAGARA,0.9,0.0,0.0,0.0,0.0,0.0,0.0,6.1,494.2
ONEIDA,3.9,0.9,0.4,0.0,0.4,0.0,0.0,13.8,338.1
ONONDAGA,5.1,0.0,0.0,0.0,0.0,0.0,0.0,18.4,558.6
ONTARIO,2.7,0.0,0.0,0.0,0.0,0.0,0.0,18.3,314.9
ORANGE,3.7,1.6,11.7,0.0,11.1,0.0,0.3,15.1,373.4
ORLEANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.9
OSWEGO,1.7,0.0,0.0,0.0,0.0,0.0,0.0,11.7,313.8
OTSEGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,475.0
PUTNAM,0.0,1.0,17.2,0.0,16.2,0.0,0.0,18.2,183.8
RENSSELAER,1.2,0.0,66.1,0.0,11.9,0.0,0.0,8.7,393.7
ROCKLAND,2.5,3.1,2.1,0.0,2.8,0.3,0.0,23.9,252.1
ST. LAWRENCE,NA,0.0,0.9,0.0,0.0,0.0,0.0,13.5,307.2
SARATOGA,1.3,0.4,26.1,0.0,3.1,0.0,0.0,14.6,242.7
SCHENECTADY,1.9,0.0,5.2,0.0,1.9,0.0,0.0,9.7,537.5
SCHOHARIE,0.0,0.0,0.0,0.0,0.0,0.0,3.2,38.3,370.3
SCHUYLER,NA,0.0,0.0,0.0,0.0,0.0,0.0,49.5,165.0
SENECA,2.9,0.0,0.0,0.0,0.0,0.0,0.0,31.6,318.7
STEUBEN,2.0,0.0,0.0,0.0,1.0,0.0,0.0,33.8,285.8
SUFFOLK,3.9,2.1,2.1,0.0,10.2,0.1,0.0,16.2,300.1
SULLIVAN,8.0,0.0,4.0,0.0,1.3,0.0,0.0,13.4,345.9
TIOGA,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.3,202.2
TOMPKINS,1.9,1.9,1.0,0.0,1.0,0.0,0.0,19.1,356.4
ULSTER,3.9,1.7,40.5,0.0,8.9,0.0,0.0,16.7,282.0
WARREN,0.0,0.0,18.6,0.0,0.0,0.0,0.0,13.9,295.3
WASHINGTON,1.6,0.0,57.8,0.0,3.2,0.0,1.6,33.7,239.4
WAYNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,265.7
WESTCHESTER,4.9,2.0,2.7,0.0,4.4,0.1,0.0,22.9,389.6
WYOMING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,234.1
YATES,NA,0.0,0.0,0.0,0.0,0.0,0.0,27.9,231.6
"",,,CRYPTO-,,DENGUE,E. COLI,,EHRLICH/ANAPLAS
"",CHIKUNGUNYA,CHOLERA,SPORIDIOSIS,CYCLOSPORIASIS,FEVER,SHIGA-TOXIN,EHRLICHIOSIS,UNDETERMINED
ALBANY,0.0,0.0,1.3,0.0,0.3,2.9,1.0,0.6
ALLEGANY,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0
BROOME,0.0,0.0,1.0,0.0,0.0,2.5,0.5,0.0
CATTARAUGUS,0.0,0.0,6.4,0.0,0.0,1.3,0.0,0.0
CAYUGA,0.0,0.0,2.6,1.3,0.0,2.6,0.0,0.0
CHAUTAUQUA,0.0,0.0,7.6,0.0,0.0,2.3,0.0,0.0
CHEMUNG,0.0,0.0,2.3,0.0,0.0,1.1,0.0,0.0
CHENANGO,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CLINTON,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0
COLUMBIA,0.0,0.0,1.6,0.0,0.0,3.3,13.0,1.6
CORTLAND,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0
DELAWARE,0.0,0.0,6.5,0.0,0.0,2.2,2.2,0.0
DUTCHESS,0.0,0.0,1.0,0.3,1.0,1.0,4.4,0.3
ERIE,0.0,0.1,1.3,0.0,0.2,1.8,0.1,0.0
ESSEX,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0
FRANKLIN,0.0,0.0,7.9,0.0,0.0,3.9,0.0,0.0
FULTON,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0
GENESEE,0.0,0.0,8.5,0.0,0.0,3.4,0.0,0.0
GREENE,0.0,0.0,4.2,0.0,0.0,4.2,2.1,4.2
HAMILTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERKIMER,0.0,0.0,6.3,0.0,0.0,4.8,0.0,0.0
JEFFERSON,0.0,0.0,22.1,1.7,0.0,10.2,0.0,0.0
LEWIS,0.0,0.0,55.6,0.0,3.7,14.8,0.0,0.0
LIVINGSTON,0.0,0.0,10.8,0.0,0.0,9.3,0.0,0.0
MADISON,0.0,0.0,20.9,0.0,1.4,5.6,0.0,0.0
MONROE,0.0,0.0,4.4,0.0,0.1,2.8,0.1,0.0
MONTGOMERY,0.0,0.0,16.1,0.0,0.0,2.0,0.0,0.0
NASSAU,0.1,0.0,0.5,0.3,0.7,1.4,0.1,0.1
NIAGARA,0.0,0.0,1.9,0.0,0.0,0.5,0.0,0.0
ONEIDA,0.0,0.0,7.7,0.4,0.4,2.6,0.0,0.0
ONONDAGA,0.0,0.0,3.8,0.0,0.4,9.4,0.2,0.0
ONTARIO,0.0,0.0,2.7,0.0,0.0,0.9,0.0,0.0
ORANGE,0.0,0.0,1.3,0.3,0.5,1.3,2.4,0.0
ORLEANS,0.0,0.0,7.2,0.0,0.0,2.4,0.0,0.0
OSWEGO,0.0,0.0,1.7,0.0,0.8,0.8,0.0,0.0
OTSEGO,0.0,0.0,13.2,0.0,0.0,0.0,0.0,3.3
PUTNAM,0.0,0.0,1.0,0.0,0.0,2.0,8.1,2.0
RENSSELAER,0.0,0.0,3.1,0.0,0.0,0.6,1.9,0.0
ROCKLAND,0.6,0.0,1.2,0.3,0.9,1.2,0.0,0.6
ST. LAWRENCE,0.0,0.0,3.6,0.0,0.0,6.3,0.0,0.0
SARATOGA,0.0,0.0,3.1,0.0,0.0,1.3,0.9,0.0
SCHENECTADY,0.0,0.0,3.9,0.0,0.0,1.3,0.0,0.0
SCHOHARIE,0.0,0.0,19.2,0.0,0.0,3.2,0.0,0.0
SCHUYLER,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
SENECA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEUBEN,0.0,0.0,6.1,0.0,0.0,3.1,1.0,0.0
SUFFOLK,0.1,0.0,1.0,0.4,0.2,0.9,5.6,0.1
SULLIVAN,0.0,0.0,0.0,0.0,0.0,4.0,2.7,0.0
TIOGA,0.0,0.0,8.1,0.0,0.0,4.0,0.0,0.0
TOMPKINS,0.0,0.0,8.6,0.0,0.0,2.9,0.0,0.0
ULSTER,0.0,0.0,1.7,0.6,0.0,2.8,1.7,0.0
WARREN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASHINGTON,0.0,0.0,3.2,0.0,0.0,11.2,1.6,1.6
WAYNE,0.0,0.0,7.7,0.0,0.0,5.5,0.0,0.0
WESTCHESTER,0.5,0.0,1.6,0.6,1.5,1.0,1.1,0.3
WYOMING,0.0,0.0,9.8,0.0,0.0,4.9,0.0,0.0
YATES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,,HEMOLYTIC,,,,
"",ENCEPHALITIS,,,HAEMOPHILUS,UREMIC,,HEPATITIS B,HEPATITIS B,HEPATITIS C
"",(NON-WNV),GIARDIASIS,GONORRHEA,INFLUENZAE,SYNDROME,HEPATITIS A,ACUTE,CHRONIC*,ACUTE
ALBANY,0.3,8.1,148.4,1.9,0.0,1.3,0.3,23.3,3.2
ALLEGANY,4.2,29.5,27.4,0.0,0.0,0.0,0.0,2.1,2.1
BROOME,1.0,5.6,102.8,4.6,0.5,0.0,1.0,10.7,6.6
CATTARAUGUS,0.0,9.0,86.0,2.6,0.0,0.0,0.0,1.3,0.0
CAYUGA,0.0,2.6,26.8,2.6,0.0,0.0,0.0,5.1,2.6
CHAUTAUQUA,0.8,9.9,90.2,2.3,0.0,0.8,0.0,4.6,2.3
CHEMUNG,0.0,9.2,57.4,3.4,0.0,0.0,1.1,3.4,3.4
CHENANGO,0.0,12.3,12.3,2.0,0.0,2.0,0.0,6.1,0.0
CLINTON,0.0,7.4,17.2,4.9,0.0,0.0,0.0,4.9,9.8
COLUMBIA,1.6,4.9,35.8,3.3,0.0,1.6,0.0,8.1,4.9
CORTLAND,4.1,4.1,35.1,4.1,0.0,0.0,0.0,4.1,6.2
DELAWARE,0.0,28.2,13.0,0.0,0.0,0.0,0.0,4.3,6.5
DUTCHESS,0.0,6.4,36.5,1.0,0.0,0.7,0.0,12.5,0.7
ERIE,0.0,12.5,203.1,2.1,0.1,0.2,0.4,17.2,1.3
ESSEX,0.0,18.2,5.2,0.0,0.0,2.6,0.0,5.2,10.4
FRANKLIN,0.0,21.7,3.9,0.0,0.0,0.0,0.0,3.9,11.8
FULTON,0.0,14.8,42.6,1.9,0.0,0.0,0.0,1.9,0.0
GENESEE,0.0,3.4,39.0,1.7,0.0,0.0,3.4,3.4,3.4
GREENE,0.0,10.5,18.9,4.2,2.1,0.0,0.0,12.6,4.2
HAMILTON,0.0,21.2,21.2,0.0,0.0,0.0,0.0,0,0.0
HERKIMER,0.0,26.9,34.9,7.9,0.0,1.6,0.0,1.6,4.8
JEFFERSON,6.0,11.9,72.3,2.6,0.0,0.0,0.0,9.4,1.7
LEWIS,0.0,51.9,14.8,3.7,0.0,0.0,0.0,7.4,3.7
LIVINGSTON,0.0,17.0,21.6,0.0,1.5,0.0,0.0,1.5,0.0
MADISON,0.0,16.7,29.2,0.0,0.0,0.0,0.0,0,4.2
MONROE,0.0,4.8,294.4,1.5,0.1,0.1,0.7,10.4,2.7
MONTGOMERY,0.0,4.0,30.2,8.1,0.0,0.0,0.0,4,4.0
NASSAU,0.1,7.7,40.8,2.8,0.0,0.7,0.2,30,0.2
NIAGARA,0.0,3.8,143.9,3.8,0.0,0.5,0.5,5.6,1.9
ONEIDA,0.0,16.3,47.7,0.9,0.0,0.9,0.9,20.2,2.2
ONONDAGA,0.2,9.0,214.7,1.7,0.0,0.2,0.2,19.2,0.9
ONTARIO,0.0,6.4,61.2,0.9,0.0,0.9,0.9,7.3,3.7
ORANGE,0.0,6.9,59.3,1.9,0.0,0.5,0.8,12.2,0.3
ORLEANS,2.4,2.4,50.5,2.4,0.0,0.0,0.0,2.4,0.0
OSWEGO,0.0,8.3,51.6,3.3,0.0,0.0,0.8,1.7,3.3
OTSEGO,0.0,18.1,34.6,0.0,0.0,0.0,0.0,11.5,11.5
PUTNAM,0.0,9.1,18.2,2.0,0.0,2.0,0.0,10.1,4.0
RENSSELAER,2.5,3.7,105.4,1.9,0.0,0.0,0.6,8.1,0.6
ROCKLAND,3.7,8.9,35.0,2.5,0.0,0.0,0.0,23.6,0.6
ST. LAWRENCE,0.9,9.9,18.0,5.4,0.9,0.0,2.7,4.5,9.0
SARATOGA,0.0,8.8,28.7,1.8,0.0,0.0,0.0,7.1,2.7
SCHENECTADY,0.0,7.1,157.8,2.6,0.0,0.6,0.0,12.9,1.9
SCHOHARIE,0.0,9.6,9.6,0.0,0.0,0.0,0.0,3.2,6.4
SCHUYLER,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SENECA,0.0,0.0,63.2,0.0,0.0,0.0,2.9,0,2.9
STEUBEN,0.0,5.1,23.6,2.0,0.0,0.0,0.0,6.1,5.1
SUFFOLK,0.6,7.9,38.2,1.4,0.0,0.5,0.4,20.6,0.6
SULLIVAN,0.0,9.3,72.1,5.3,0.0,1.3,0.0,10.7,1.3
TIOGA,0.0,12.1,40.4,2.0,0.0,0.0,0.0,4,2.0
TOMPKINS,1.9,14.3,77.2,2.9,0.0,0.0,0.0,11.4,5.7
ULSTER,0.0,7.8,35.5,0.0,0.0,0.0,1.1,12.2,0.6
WARREN,0.0,7.7,13.9,3.1,0.0,0.0,0.0,3.1,1.5
WASHINGTON,0.0,8.0,40.2,1.6,1.6,0.0,0.0,1.6,4.8
WAYNE,1.1,5.5,145.4,1.1,0.0,1.1,0.0,4.4,1.1
WESTCHESTER,0.6,8.9,59.9,1.6,0.0,0.6,0.2,25.3,0.1
WYOMING,0.0,9.8,26.8,0.0,0.0,0.0,0.0,9.8,0.0
YATES,0.0,4.0,27.9,0.0,0.0,4.0,0.0,4,0.0
"",,"HERPES INF,",,LABORATORY,,,,LYMPHO-
"",HEPATITIS C,INFANT <60,,CONFIRMED,,,LYME,GRANULOMA
"",CHRONIC*,DAYS**,HIV***,INFLUENZA,LEGIONELLOSIS,LISTERIOSIS,DISEASE****,VENEREUM
ALBANY,57.5,0.0,8.4,245.7,3.2,1.0,49.5,0.0
ALLEGANY,54.8,0.0,0.0,183.3,6.3,0.0,8.4,0.0
BROOME,90.6,5.1,8.1,351.0,5.6,0.5,149.6,0.0
CATTARAUGUS,92.4,0.0,0.0,121.9,5.1,0.0,15.4,0.0
CAYUGA,69,14.0,3.8,279.7,12.8,1.3,8.9,0.0
CHAUTAUQUA,104.8,0.0,3.8,303.6,3.1,1.5,3.1,0.0
CHEMUNG,103.4,0.0,8.0,227.4,2.3,0.0,108.0,0.0
CHENANGO,65.5,0.0,12.3,425.8,0.0,0.0,90.1,0.0
CLINTON,84.9,0.0,3.7,188.3,8.6,0.0,36.9,0.0
COLUMBIA,37.4,0.0,9.8,232.5,0.0,0.0,635.7,0.0
CORTLAND,109.3,0.0,6.2,218.6,28.9,0.0,51.6,0.0
DELAWARE,82.5,0.0,4.3,295.3,0.0,0.0,119.4,0.0
DUTCHESS,83.2,3.8,7.4,264.1,1.4,0.3,130.5,0.0
ERIE,102.1,0.0,9.2,250.3,7.6,0.4,5.7,0.0
ESSEX,41.6,0.0,NA,116.9,2.6,0.0,194.9,0.0
FRANKLIN,80.9,0.0,3.9,258.6,3.9,0.0,29.6,0.0
FULTON,64.8,38.3,3.7,214.8,0.0,0.0,11.1,0.0
GENESEE,69.6,0.0,6.8,480.2,1.7,0.0,10.2,0.0
GREENE,69.3,0.0,6.3,191.1,0.0,0.0,623.6,0.0
HAMILTON,84.9,0.0,NA,148.6,0.0,0.0,42.4,0.0
HERKIMER,53.9,0.0,1.6,549.9,3.2,0.0,39.6,0.0
JEFFERSON,68.9,0.0,3.4,273.7,1.7,0.0,45.1,0.0
LEWIS,48.2,0.0,NA,448.9,3.7,0.0,59.4,0.0
LIVINGSTON,35.5,0.0,1.5,179.2,4.6,0.0,4.6,0.0
MADISON,40.4,0.0,5.6,322.9,2.8,0.0,40.4,0.0
MONROE,45.2,3.7,6.4,376.7,3.9,0.4,14.5,0.0
MONTGOMERY,56.4,0.0,2.0,386.8,2.0,0.0,28.2,0.0
NASSAU,41.1,0.7,8.2,251.8,4.2,0.7,11.3,0.0
NIAGARA,105.8,0.0,2.8,117.6,20.7,0.0,0.0,0.0
ONEIDA,93.3,8.0,4.3,745.8,3.9,0.0,14.2,0.0
ONONDAGA,91.8,1.9,6.4,327.0,2.8,0.4,6.6,0.0
ONTARIO,31.9,0.0,3.7,381.5,4.6,0.9,19.2,0.0
ORANGE,72,0.0,9.5,279.4,2.4,0.0,140.6,0.0
ORLEANS,45.7,0.0,0.0,204.4,2.4,0.0,4.8,0.0
OSWEGO,58.3,8.3,3.3,446.1,5.0,0.0,63.3,0.0
OTSEGO,62.7,0.0,1.6,176.5,1.6,0.0,174.8,0.0
PUTNAM,67.6,0.0,1.0,301.9,1.0,0.0,347.3,0.0
RENSSELAER,38.7,0.0,5.0,189.7,0.6,0.0,310.1,0.0
ROCKLAND,45.4,2.0,7.4,175.7,2.5,0.0,50.6,0.0
ST. LAWRENCE,71.2,0.0,NA,410.8,0.9,1.8,121.6,0.9
SARATOGA,30.5,0.0,2.2,342.1,13.7,0.4,108.3,0.0
SCHENECTADY,57.6,0.0,11.0,510.3,0.6,0.6,75.7,0.0
SCHOHARIE,28.7,0.0,0.0,159.6,3.2,0.0,95.8,0.0
SCHUYLER,60.5,0.0,NA,225.4,16.5,5.5,110.0,0.0
SENECA,100.5,0.0,0.0,129.2,5.7,0.0,34.5,0.0
STEUBEN,65.6,0.0,0.0,141.3,2.0,0.0,69.7,0.0
SUFFOLK,58.7,0.6,7.1,237.0,1.9,0.7,42.9,0.2
SULLIVAN,144.2,0.0,10.7,661.1,1.3,0.0,134.9,0.0
TIOGA,93,0.0,2.0,248.7,2.0,0.0,131.4,0.0
TOMPKINS,50.5,0.0,6.7,409.8,2.9,1.0,122.9,0.0
ULSTER,77.2,0.0,4.4,191.5,4.4,0.6,194.9,0.0
WARREN,51,0.0,1.5,125.2,7.7,0.0,83.5,0.0
WASHINGTON,41.8,0.0,3.2,196.0,17.7,0.0,136.6,0.0
WAYNE,50.3,0.0,4.4,422.1,3.3,1.1,18.6,0.0
WESTCHESTER,43.3,3.8,9.8,430.3,2.3,0.3,35.1,0.0
WYOMING,56.1,0.0,0.0,139.0,2.4,0.0,7.3,0.0
YATES,20,0.0,NA,267.5,0.0,0.0,63.9,0.0
"",,,,,MENINGITIS,,,
"",,,MENINGITIS,MENINGO-,OTHER BACT. AND,,,
"",MALARIA,MEASLES,ASEPTIC,COCCAL,UNKNOWN,MUMPS,PERTUSSIS,Q FEVER
ALBANY,1.9,0.0,7.1,0.0,0.0,0.0,2.9,0.0
ALLEGANY,0.0,0.0,6.3,0.0,0.0,0.0,4.2,0.0
BROOME,1.5,0.0,3.1,2.0,0.5,1.0,1.0,0.0
CATTARAUGUS,1.3,0.0,2.6,0.0,1.3,0.0,1.3,0.0
CAYUGA,0.0,0.0,5.1,0.0,0.0,0.0,3.8,1.3
CHAUTAUQUA,0.0,0.0,0.8,0.0,1.5,0.0,3.1,0.0
CHEMUNG,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0
CHENANGO,0.0,0.0,2.0,0.0,0.0,0.0,6.1,0.0
CLINTON,1.2,0.0,7.4,0.0,1.2,1.2,11.1,0.0
COLUMBIA,1.6,0.0,0.0,0.0,0.0,1.6,6.5,0.0
CORTLAND,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0
DELAWARE,0.0,0.0,2.2,0.0,0.0,0.0,4.3,0.0
DUTCHESS,0.7,0.0,0.0,0.3,0.0,1.7,28.7,0.0
ERIE,0.4,0.0,3.0,0.0,0.9,0.8,2.7,0.0
ESSEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANKLIN,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0
FULTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENESEE,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0
GREENE,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.1
HAMILTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERKIMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEFFERSON,0.0,0.0,5.1,0.0,0.9,1.7,5.1,0.0
LEWIS,0.0,0.0,7.4,0.0,0.0,0.0,11.1,0.0
LIVINGSTON,0.0,0.0,0.0,0.0,0.0,40.2,9.3,0.0
MADISON,1.4,0.0,0.0,0.0,0.0,1.4,4.2,0.0
MONROE,1.1,0.0,0.1,0.0,0.0,0.7,8.3,0.0
MONTGOMERY,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
NASSAU,0.9,0.0,5.1,0.0,0.5,4.1,6.4,0.0
NIAGARA,0.9,0.0,1.9,0.0,0.5,0.5,1.4,0.0
ONEIDA,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0
ONONDAGA,1.9,0.0,6.2,0.2,0.0,0.0,4.5,0.0
ONTARIO,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0
ORANGE,0.3,0.0,0.0,0.0,0.0,1.9,5.3,0.0
ORLEANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSWEGO,0.0,0.0,0.8,0.0,0.0,1.7,1.7,0.0
OTSEGO,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUTNAM,0.0,0.0,3.0,0.0,2.0,0.0,6.1,0.0
RENSSELAER,0.0,0.0,6.2,0.0,0.0,0.6,0.0,0.0
ROCKLAND,0.3,0.0,4.3,0.6,0.3,0.3,5.2,0.0
ST. LAWRENCE,0.9,0.0,3.6,0.0,0.9,0.9,8.1,0.0
SARATOGA,0.0,0.0,3.1,0.4,0.0,0.4,5.7,0.0
SCHENECTADY,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
SCHOHARIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHUYLER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENECA,0.0,0.0,0.0,0.0,2.9,0.0,2.9,0.0
STEUBEN,0.0,0.0,2.0,0.0,0.0,0.0,4.1,0.0
SUFFOLK,0.6,0.0,3.5,0.0,0.2,0.6,6.9,0.0
SULLIVAN,0.0,0.0,0.0,0.0,0.0,0.0,48.1,0.0
TIOGA,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
TOMPKINS,1.0,0.0,1.0,1.0,0.0,1.0,3.8,0.0
ULSTER,0.6,0.0,0.0,0.0,0.0,42.7,4.4,0.0
WARREN,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
WASHINGTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAYNE,0.0,0.0,0.0,0.0,0.0,1.1,15.3,0.0
WESTCHESTER,0.9,0.0,4.5,0.0,0.9,0.6,5.9,0.0
WYOMING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YATES,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
"",,,,STREP GROUP A,STREP GROUP B,STREP PNEUMO,SYPHILIS
"",RMSF,SALMONELLOSIS,SHIGELLOSIS,INVASIVE,INVASIVE,INVASIVE,EARLY
ALBANY,0.0,6.8,2.6,6.8,12.9,12.0,19.4
ALLEGANY,0.0,16.9,0.0,0.0,2.1,12.6,4.2
BROOME,0.0,8.1,3.1,5.1,15.3,10.2,2.5
CATTARAUGUS,0.0,9.0,0.0,3.9,11.6,7.7,1.3
CAYUGA,0.0,11.5,2.6,3.8,12.8,11.5,1.3
CHAUTAUQUA,0.0,22.9,0.0,4.6,6.9,8.4,3.1
CHEMUNG,0.0,13.8,1.1,1.1,13.8,12.6,6.9
CHENANGO,0.0,20.5,0.0,2.0,20.5,20.5,2.0
CLINTON,0.0,13.5,1.2,4.9,12.3,6.2,7.4
COLUMBIA,1.6,13.0,4.9,1.6,13.0,6.5,9.8
CORTLAND,0.0,10.3,0.0,4.1,12.4,16.5,8.2
DELAWARE,2.2,15.2,2.2,8.7,21.7,15.2,2.2
DUTCHESS,1.0,12.5,1.4,5.1,13.5,5.1,17.9
ERIE,0.0,9.8,2.5,6.3,10.1,7.7,9.4
ESSEX,0.0,10.4,0.0,5.2,5.2,13.0,0.0
FRANKLIN,0.0,17.8,0.0,3.9,25.7,15.8,0.0
FULTON,0.0,9.3,0.0,7.4,11.1,11.1,1.9
GENESEE,0.0,22.1,0.0,5.1,8.5,6.8,1.7
GREENE,0.0,16.8,0.0,8.4,8.4,23.1,6.3
HAMILTON,0.0,21.2,0.0,0.0,0.0,0.0,0.0
HERKIMER,0.0,11.1,1.6,6.3,9.5,9.5,3.2
JEFFERSON,0.0,14.5,2.6,0.9,10.2,7.7,0.0
LEWIS,0.0,29.7,0.0,0.0,22.3,0.0,0.0
LIVINGSTON,0.0,13.9,3.1,6.2,12.4,7.7,0.0
MADISON,0.0,11.1,0.0,2.8,2.8,9.7,9.7
MONROE,0.3,9.7,2.9,3.1,11.1,8.8,10.5
MONTGOMERY,0.0,16.1,0.0,2.0,18.1,18.1,0.0
NASSAU,0.1,10.7,2.8,3.2,10.0,6.1,14.0
NIAGARA,0.0,12.2,0.5,6.6,7.5,6.6,2.4
ONEIDA,0.4,13.3,1.7,5.6,21.1,7.7,3.9
ONONDAGA,0.0,13.2,0.4,5.6,9.0,9.0,7.7
ONTARIO,0.0,18.3,1.8,3.7,12.8,9.1,3.7
ORANGE,0.3,11.7,1.6,2.9,12.2,10.1,8.7
ORLEANS,0.0,12.0,0.0,4.8,14.4,9.6,7.2
OSWEGO,0.0,12.5,0.0,4.2,11.7,6.7,3.3
OTSEGO,0.0,14.8,0.0,3.3,19.8,6.6,3.3
PUTNAM,0.0,9.1,2.0,2.0,8.1,7.1,14.1
RENSSELAER,0.6,11.2,1.9,3.7,6.9,10.0,10.6
ROCKLAND,0.0,11.0,2.5,3.7,9.5,7.7,7.7
ST. LAWRENCE,0.0,31.5,0.0,3.6,12.6,12.6,5.4
SARATOGA,0.0,10.2,0.9,4.0,8.4,8.8,5.7
SCHENECTADY,0.0,11.0,3.2,7.1,13.6,9.7,7.8
SCHOHARIE,0.0,6.4,0.0,3.2,16.0,0.0,3.2
SCHUYLER,0.0,27.5,5.5,11.0,22.0,33.0,0.0
SENECA,0.0,34.5,0.0,14.4,11.5,5.7,5.7
STEUBEN,0.0,19.5,0.0,2.0,7.2,9.2,1.0
SUFFOLK,0.8,13.9,2.5,3.3,9.4,6.3,11.0
