"",,,ANAPLAS-,"ARBO, OTHER",,,,CAMPYLO-,
RENSSELAER,623,1,2,0,0,1,1,0,0
ROCKLAND,741,1,2,0,2,3,2,5,1
ST. LAWRENCE,331,0,10,1,0,2,0,0,0
SARATOGA,485,0,5,0,0,0,4,0,0
SCHENECTADY,778,1,3,0,0,0,3,0,0
SCHOHARIE,93,0,1,0,0,1,1,0,0
SCHUYLER,49,0,0,0,0,0,0,0,0
SENECA,127,0,0,0,0,0,0,0,0
STEUBEN,242,0,4,0,1,0,2,0,0
SUFFOLK,3557,2,7,3,4,5,17,67,1
SULLIVAN,259,0,0,0,0,1,0,0,0
TIOGA,115,0,7,0,0,1,0,0,0
TOMPKINS,357,1,12,0,0,1,5,1,0
ULSTER,488,0,0,1,1,0,4,2,0
WARREN,184,0,1,0,0,0,0,0,0
WASHINGTON,139,0,3,0,0,0,0,1,0
WAYNE,244,0,2,0,0,4,0,0,0
WESTCHESTER,3280,16,12,5,6,2,13,3,0
WYOMING,82,0,2,0,0,1,1,0,0
YATES,51,0,1,0,0,1,0,0,0
"",ENCEPHALITIS,,,,HEMOLYTIC,,,,
"",(NON-,,,HAEMOPHILUS,UREMIC,,HEPATITIS B,HEPATITIS B,HEPATITIS B
"",WESTNILE),GIARDIASIS,GONORRHEA,INFLUENZAE,SYNDROME,HEPATITIS A,ACUTE,PERINATAL,CHRONIC
ALBANY,0,41,302,3,0,0,4,0,77
ALLEGANY,1,4,8,0,0,0,0,0,2
BROOME,0,13,98,2,0,0,0,0,13
CATTARAUGUS,0,5,16,1,0,0,0,0,4
CAYUGA,0,10,17,1,0,0,1,0,4
CHAUTAUQUA,1,21,26,4,0,0,0,0,3
CHEMUNG,0,6,24,5,0,0,0,0,5
CHENANGO,0,10,2,0,0,0,0,0,1
CLINTON,1,6,27,1,0,0,0,0,5
COLUMBIA,0,7,11,3,0,2,0,0,4
CORTLAND,0,2,13,0,0,0,0,0,4
DELAWARE,0,10,3,1,0,0,0,0,2
DUTCHESS,1,19,128,1,0,0,1,0,54
ERIE,3,120,1155,10,1,4,1,0,144
ESSEX,0,3,3,0,0,0,0,0,0
FRANKLIN,0,4,7,1,0,0,0,0,3
FULTON,0,3,11,1,0,0,0,0,1
GENESEE,0,2,18,0,0,0,0,0,1
GREENE,0,2,9,1,0,0,0,0,2
HAMILTON,0,1,0,0,0,0,0,0,2
HERKIMER,0,9,17,1,0,0,0,0,1
JEFFERSON,1,11,50,3,0,0,0,0,11
LEWIS,0,7,7,0,0,0,0,0,0
LIVINGSTON,0,9,4,2,0,0,0,0,1
MADISON,1,6,18,1,0,1,0,0,3
MONROE,6,36,1158,12,1,1,1,1,101
MONTGOMERY,0,5,2,2,0,0,0,0,0
NASSAU,3,79,474,25,0,6,6,0,401
NIAGARA,2,6,187,3,0,0,1,0,12
ONEIDA,0,28,116,0,0,2,1,0,53
ONONDAGA,6,41,803,11,0,1,5,0,91
ONTARIO,1,8,28,1,1,0,0,0,3
ORANGE,0,30,203,5,0,1,2,0,36
ORLEANS,0,0,20,0,0,0,0,0,1
OSWEGO,0,20,27,2,0,1,0,0,5
OTSEGO,0,7,6,1,0,0,0,0,5
PUTNAM,2,7,13,1,0,1,0,0,8
RENSSELAER,0,9,92,3,0,0,0,0,18
ROCKLAND,2,21,77,4,0,1,4,0,55
ST. LAWRENCE,3,3,12,2,0,0,0,0,8
SARATOGA,0,25,38,0,0,0,0,0,22
SCHENECTADY,0,11,129,1,0,2,1,0,19
SCHOHARIE,0,6,1,0,0,0,0,0,0
SCHUYLER,0,4,1,0,0,0,0,0,0
SENECA,0,1,5,1,0,1,0,0,3
STEUBEN,0,9,25,1,1,2,0,0,3
SUFFOLK,6,95,557,13,0,6,3,0,246
SULLIVAN,0,10,23,5,0,0,0,0,7
TIOGA,0,6,10,1,0,0,0,0,6
TOMPKINS,0,25,64,1,0,1,2,0,17
ULSTER,1,14,64,1,0,0,0,0,24
WARREN,0,5,10,2,0,0,0,0,0
WASHINGTON,0,4,4,0,0,0,0,0,2
WAYNE,0,9,20,0,0,1,2,0,10
WESTCHESTER,5,92,469,8,0,4,3,0,232
WYOMING,0,1,2,0,0,0,0,0,1
YATES,1,3,2,0,0,0,0,0,3
"",,,"HERPES INF,",,LABORATORY,,LYMPHO-,
"",HEPATITIS C,"HEPATITIS C,",INFANT <60,,CONFIRMED,,GRANULOMA,
"",ACUTE,PAST/PRESENT,DAYS,HIV*,INFLUENZA,LEGIONELLOSIS,VENEREUM,LISTERIOSIS
ALBANY,2,177,0,26,748,11,0,0
ALLEGANY,2,19,0,2,158,4,0,0
BROOME,10,184,0,14,643,7,0,1
CATTARAUGUS,3,70,0,1,58,2,0,0
CAYUGA,1,59,0,3,208,10,0,0
CHAUTAUQUA,4,113,1,9,361,2,0,0
CHEMUNG,3,59,1,4,128,6,0,0
CHENANGO,3,46,0,2,178,3,0,1
CLINTON,2,75,0,4,82,5,0,0
COLUMBIA,0,41,0,6,232,1,0,0
CORTLAND,6,47,0,4,89,3,0,0
DELAWARE,1,37,1,1,69,0,0,0
DUTCHESS,3,247,1,28,445,16,0,3
ERIE,12,770,0,105,2096,63,0,4
ESSEX,2,28,0,0,47,1,0,0
FRANKLIN,5,38,0,3,96,2,0,0
FULTON,0,26,0,3,88,0,0,0
GENESEE,0,38,0,1,293,3,0,0
GREENE,0,39,0,2,107,2,0,1
HAMILTON,0,2,0,0,4,0,0,0
HERKIMER,0,39,0,4,240,1,0,0
JEFFERSON,0,71,0,6,223,8,0,0
LEWIS,0,6,0,1,72,0,0,0
LIVINGSTON,0,8,0,2,189,4,0,0
MADISON,1,31,0,5,241,1,0,0
MONROE,4,576,0,79,4108,42,0,1
MONTGOMERY,2,34,0,5,81,3,0,0
NASSAU,7,572,0,140,3218,77,0,10
NIAGARA,0,234,0,10,145,12,0,0
ONEIDA,5,135,1,15,1603,6,0,0
ONONDAGA,4,380,0,55,1547,12,0,1
ONTARIO,1,47,0,2,471,3,0,0
ORANGE,3,276,0,15,960,5,0,2
ORLEANS,0,22,0,1,94,7,0,0
OSWEGO,5,73,1,4,481,0,0,0
OTSEGO,1,45,0,3,82,0,0,0
PUTNAM,3,59,0,3,231,0,0,1
RENSSELAER,2,74,0,11,310,3,0,1
ROCKLAND,0,158,2,31,337,9,1,0
ST. LAWRENCE,4,92,0,7,390,1,0,0
SARATOGA,1,79,0,10,845,7,1,1
SCHENECTADY,0,108,0,12,402,1,0,0
SCHOHARIE,0,13,0,1,36,0,0,0
SCHUYLER,0,8,0,0,41,0,0,0
SENECA,1,37,0,1,97,0,0,0
STEUBEN,1,61,0,5,195,5,0,0
SUFFOLK,2,930,6,141,3798,33,0,5
SULLIVAN,0,100,0,8,172,2,0,0
TIOGA,1,46,0,1,143,1,0,0
TOMPKINS,5,100,0,11,267,2,0,0
ULSTER,0,181,0,15,292,6,0,0
WARREN,0,50,0,5,88,3,0,0
WASHINGTON,0,21,0,0,125,1,0,0
WAYNE,0,64,1,4,555,2,0,0
WESTCHESTER,2,687,0,125,3077,24,0,4
WYOMING,1,20,0,1,50,0,0,0
YATES,0,10,0,0,69,0,0,0
"",,,MENINGITIS,MENINGO-,MENINGITIS OTHER,,,
"",LYME DISEASE*,MEASLES,ASEPTIC,COCCAL,BACT. AND UNKNOWN,MUMPS,PERTUSSIS,Q FEVER
ALBANY,221,1,14,1,0,0,1,0
ALLEGANY,1,0,0,0,0,0,5,0
BROOME,152,0,3,0,1,0,11,0
CATTARAUGUS,5,0,0,0,0,0,7,0
CAYUGA,7,0,3,0,0,0,2,0
CHAUTAUQUA,6,0,5,1,1,0,54,0
CHEMUNG,30,0,0,0,0,0,14,0
CHENANGO,37,0,2,0,0,0,0,0
CLINTON,25,0,7,0,1,0,53,0
COLUMBIA,295,0,4,0,0,0,10,0
CORTLAND,14,0,3,0,0,0,1,0
DELAWARE,25,0,2,0,0,0,0,0
DUTCHESS,665,0,0,0,0,1,17,0
ERIE,30,0,40,0,7,0,92,2
ESSEX,32,0,1,0,0,0,7,0
FRANKLIN,9,0,1,0,0,0,23,0
FULTON,13,0,1,0,0,0,0,0
GENESEE,4,0,1,0,1,0,10,0
GREENE,245,0,3,0,0,0,1,0
HAMILTON,1,0,0,0,0,0,0,0
HERKIMER,20,0,1,0,0,0,3,0
JEFFERSON,29,0,4,0,0,0,8,0
LEWIS,4,0,1,0,1,0,9,0
LIVINGSTON,1,0,0,0,0,0,3,0
MADISON,7,0,8,0,0,0,3,0
MONROE,60,1,27,3,1,0,78,1
MONTGOMERY,18,0,1,0,0,0,2,0
NASSAU,68,0,40,1,6,4,34,0
NIAGARA,7,0,13,0,1,0,15,0
ONEIDA,41,0,6,0,1,0,30,0
ONONDAGA,130,0,29,1,0,0,64,0
ONTARIO,15,0,5,1,0,0,2,0
ORANGE,525,1,0,0,1,0,24,0
ORLEANS,2,0,0,0,0,0,1,0
OSWEGO,35,0,10,0,0,0,8,0
OTSEGO,53,0,2,0,0,0,8,0
PUTNAM,323,0,5,0,0,0,9,0
RENSSELAER,430,1,7,0,1,0,1,0
ROCKLAND,243,1,34,0,1,0,46,0
ST. LAWRENCE,111,0,2,0,1,0,4,0
SARATOGA,170,0,5,0,2,0,4,0
SCHENECTADY,52,0,3,0,0,0,6,0
SCHOHARIE,20,0,0,0,0,0,0,0
SCHUYLER,9,0,0,0,0,0,0,0
SENECA,2,0,1,0,0,0,2,0
STEUBEN,23,0,0,0,1,0,16,0
SUFFOLK,654,0,57,0,5,1,88,0
SULLIVAN,86,0,0,0,0,0,0,0
TIOGA,42,0,0,0,0,0,8,0
TOMPKINS,103,0,0,0,0,0,14,0
ULSTER,406,0,5,0,1,0,16,3
WARREN,46,0,1,0,0,0,1,0
WASHINGTON,70,0,0,0,0,0,2,0
WAYNE,7,0,2,0,1,0,18,0
WESTCHESTER,194,0,52,0,8,6,60,0
WYOMING,2,0,2,0,0,0,4,0
YATES,13,0,0,0,0,0,0,0
"",,,,STREP GROUP A,STREP GROUP,STREP PNEUMO,SYPHILIS,SYPHILIS
"",RMSF,SALMONELLOSIS,SHIGELLOSIS,INVASIVE,B INVASIVE,INVASIVE,EARLY,LATE
ALBANY,0,25,8,14,39,17,39,23
ALLEGANY,0,8,0,1,1,2,0,0
BROOME,1,20,1,13,15,18,8,6
CATTARAUGUS,0,10,0,3,6,4,2,0
CAYUGA,1,8,0,4,9,15,0,0
CHAUTAUQUA,0,21,1,1,20,15,4,3
CHEMUNG,0,25,0,5,11,13,1,9
CHENANGO,0,10,0,3,8,6,1,0
CLINTON,0,7,0,7,8,8,4,1
COLUMBIA,3,11,1,2,4,7,3,1
CORTLAND,0,7,0,1,4,3,5,0
DELAWARE,0,9,0,2,5,6,0,0
DUTCHESS,1,35,4,8,31,18,20,24
ERIE,0,83,4,39,76,64,64,64
ESSEX,0,9,0,1,3,4,0,0
FRANKLIN,0,7,0,1,5,7,0,0
FULTON,0,7,0,1,6,7,3,1
GENESEE,0,15,0,2,5,8,1,1
GREENE,1,4,0,3,6,4,7,2
HAMILTON,0,0,0,0,0,0,0,0
HERKIMER,0,3,3,1,7,11,1,0
JEFFERSON,0,21,1,1,7,5,5,3
LEWIS,0,3,0,1,5,0,2,0
LIVINGSTON,0,6,1,1,3,8,6,0
MADISON,0,11,0,1,9,8,4,0
MONROE,0,72,10,37,67,42,56,67
MONTGOMERY,0,2,1,2,5,5,6,1
NASSAU,1,119,62,46,109,85,131,54
NIAGARA,0,15,0,10,17,12,4,3
ONEIDA,0,21,1,15,30,16,5,5
ONONDAGA,1,62,3,34,47,62,58,5
ONTARIO,0,21,4,3,12,10,2,3
ORANGE,0,47,20,20,34,14,15,14
ORLEANS,0,4,0,0,9,3,0,1
OSWEGO,1,11,0,7,13,13,5,1
OTSEGO,0,7,1,3,15,7,5,2
PUTNAM,0,16,1,1,4,4,1,5
RENSSELAER,1,26,3,11,11,13,13,2
ROCKLAND,1,43,54,9,18,23,15,38
ST. LAWRENCE,0,16,1,3,17,11,2,0
SARATOGA,0,21,6,7,15,9,9,1
SCHENECTADY,0,12,1,8,22,15,14,15
SCHOHARIE,0,3,0,1,0,2,2,0
SCHUYLER,0,7,0,3,3,3,0,1
SENECA,0,9,0,2,4,5,0,5
STEUBEN,0,13,0,4,17,8,0,1
SUFFOLK,8,190,51,36,137,83,108,141
SULLIVAN,0,16,2,1,7,7,3,5
TIOGA,0,8,0,5,4,5,3,0
TOMPKINS,0,8,1,4,13,9,11,1
ULSTER,0,13,1,2,18,17,5,9
WARREN,0,7,1,2,7,13,1,1
WASHINGTON,0,5,0,1,3,4,0,0
WAYNE,0,18,0,4,12,9,3,6
WESTCHESTER,0,132,33,31,79,69,72,84
WYOMING,0,4,0,0,4,3,0,0
YATES,0,7,0,0,2,3,0,0
"",TOXIC,,,,,,
"",SHOCK,,,,WEST NILE,WEST NILE,
"",SYNDROME,TUBERCULOSIS,TULAREMIA,TYPHOID FEVER,FEVER,VIRUS,YERSINIOSIS
ALBANY,2,7,0,0,0,0,3
ALLEGANY,0,0,0,0,0,0,1
BROOME,0,0,0,0,0,0,1
CATTARAUGUS,0,0,0,0,0,0,0
CAYUGA,0,2,0,0,0,0,0
CHAUTAUQUA,0,0,0,0,0,0,0
CHEMUNG,0,0,0,0,0,0,1
CHENANGO,0,0,0,0,0,0,0
CLINTON,0,0,2,0,0,0,0
COLUMBIA,0,2,0,0,0,0,1
CORTLAND,0,0,0,0,0,0,0
DELAWARE,0,0,0,0,0,0,0
DUTCHESS,0,7,0,0,0,1,0
ERIE,0,16,0,2,0,0,2
ESSEX,0,1,0,0,0,0,1
FRANKLIN,0,0,0,0,0,0,0
FULTON,0,0,0,0,0,0,0
GENESEE,0,0,0,0,0,1,0
GREENE,0,0,0,0,0,0,0
HAMILTON,0,0,0,0,0,0,0
HERKIMER,0,0,0,0,0,0,0
JEFFERSON,0,1,0,0,0,0,0
LEWIS,2,0,0,0,0,0,0
LIVINGSTON,0,0,0,0,0,0,3
MADISON,0,0,0,0,0,0,0
MONROE,8,20,0,0,0,0,2
MONTGOMERY,0,0,0,0,0,0,0
NASSAU,0,33,0,5,0,4,11
NIAGARA,0,3,0,0,0,0,1
ONEIDA,0,3,0,0,0,0,0
ONONDAGA,1,10,0,0,0,1,2
ONTARIO,0,0,0,0,0,0,0
ORANGE,0,8,0,0,0,0,1
ORLEANS,0,0,0,0,0,0,1
OSWEGO,0,1,0,0,0,0,0
OTSEGO,0,0,0,0,0,0,0
PUTNAM,0,2,0,0,0,0,0
RENSSELAER,0,2,0,0,0,0,1
ROCKLAND,0,11,0,0,0,0,0
ST. LAWRENCE,1,0,0,0,0,0,1
SARATOGA,0,1,0,0,0,0,0
SCHENECTADY,1,3,0,0,0,0,0
SCHOHARIE,0,0,0,0,0,0,0
SCHUYLER,0,0,0,0,0,0,0
SENECA,0,0,0,0,0,0,0
STEUBEN,0,0,0,1,0,0,0
SUFFOLK,0,35,1,2,0,1,5
SULLIVAN,0,1,0,0,0,0,0
TIOGA,0,0,0,0,0,0,0
TOMPKINS,0,4,0,0,0,1,3
ULSTER,0,0,0,0,0,0,0
WARREN,0,0,0,0,0,1,1
WASHINGTON,0,1,0,0,0,0,0
WAYNE,1,1,0,0,0,0,1
WESTCHESTER,1,27,0,0,0,2,3
WYOMING,0,0,0,0,0,0,0
YATES,0,0,0,0,0,0,0
